,Latitude,Longitude
0,47.64143615307482,-122.14142098193388
1,47.6336998,-122.1430163
2,47.629670062437164,-122.17060134225994
3,47.641566760245915,-122.19971654135715
4,47.64142492312323,-122.2633794012192
5,47.64529866576474,-122.2938702283344
6,47.644299834354406,-122.322957050025
7,47.65757326353382,-122.3227215771781
8,47.66133621025595,-122.32286276323677
9,47.66135886983462,-122.32849998653303
10,47.66136643518992,-122.33363334742133
11,47.66137582074891,-122.33998328646885
12,47.661231070185835,-122.34215252272108
13,47.65335303247828,-122.34254387757795
14,47.65099272996015,-122.34760108093201
15,47.6466025,-122.3497503
16,47.64582129890976,-122.35574995257376
17,47.64036684950446,-122.35690733097162
18,47.634400160755426,-122.35697986939523
19,47.63108311966632,-122.35661700424491
20,47.62348310868735,-122.35541979113466
21,47.6185039063304,-122.35524337165076
22,47.61442697081641,-122.35399689018344
23,47.61490707470462,-122.34847215827808
24,47.61421560569599,-122.3419906878244
25,47.60788090268609,-122.33457922207087
26,47.606694026449176,-122.3314636419568
27,47.60945967503834,-122.32484192969976
28,47.61248329550569,-122.31814580792663
29,47.61788281594058,-122.31820185646639
30,47.62273338956191,-122.31782308858678
31,47.622983320570796,-122.31571594055076
32,47.61991247911882,-122.32085022049257
33,47.61841650260417,-122.32570362572031
34,47.6074864,-122.3295782
35,47.5939299,-122.3115679
36,47.58995441630004,-122.26829989665369
37,47.585175246465596,-122.22582041601282
38,47.58013113408465,-122.19389715462458
39,47.579726951786,-122.15616002196363
40,47.57668513672657,-122.14014358212692
41,47.57913970760179,-122.15469670965079
42,47.576485809287654,-122.16945822917026
43,47.568263344422334,-122.16912645382207
44,47.571287971282246,-122.15797485792906
45,47.57105459698269,-122.1410795376195
46,47.572529623772766,-122.1246340315646
47,47.568498023920355,-122.10620999043259
48,47.56793731362121,-122.0999497086645
49,47.57633283381015,-122.11203274617952
50,47.58930124081882,-122.11178666502737
51,47.605477532840325,-122.11290793077228
52,47.61834273271606,-122.09849155948964
53,47.6325175,-122.0903914
54,47.642281472578105,-122.10405703301022
55,47.650416287930874,-122.11524275264065
56,47.65590364624466,-122.12494388665293
57,47.65897899607881,-122.13652550992467
58,47.6678278909628,-122.11041521380184
59,47.6675475327084,-122.10569994137518
