,Latitude,Longitude
0,47.64143615307482,-122.14142098193388
1,47.6336998,-122.1430163
2,47.629670062437164,-122.17060134225994
3,47.641566760245915,-122.19971654135715
4,47.64142492312323,-122.2633794012192
5,47.64529866576474,-122.2938702283344
6,47.644299834354406,-122.322957050025
7,47.65757326353382,-122.3227215771781
8,47.66133621025595,-122.32286276323677
9,47.66135886983462,-122.32849998653303
10,47.66136643518992,-122.33363334742133
11,47.66137582074891,-122.33998328646885
12,47.66067734694033,-122.34223170965944
13,47.65335303247828,-122.34254387757795
14,47.6509446,-122.347277
15,47.6466025,-122.3497503
16,47.645822,-122.3555721
17,47.64036684950446,-122.35690733097162
18,47.634400160755426,-122.35697986939523
19,47.63108311966632,-122.35661700424491
20,47.62348310868735,-122.35541979113466
21,47.6185039063304,-122.35524337165076
22,47.61447153049425,-122.35400060615677
23,47.61490707470462,-122.34847215827808
24,47.61421560569599,-122.3419906878244
25,47.607396396450596,-122.33449449581892
26,47.606694026449176,-122.3314636419568
27,47.60945967503834,-122.32484192969976
28,47.61229788417795,-122.31807289779537
29,47.61760721202691,-122.31818302498209
30,47.62273338956191,-122.31782308858678
31,47.622983320570796,-122.31571594055076
32,47.6199123,-122.3208739
33,47.61841650260417,-122.32570362572031
34,47.60739037619339,-122.32980732553504
35,47.5939299,-122.3115679
36,47.58995441630004,-122.26829989665369
37,47.585175246465596,-122.22582041601282
38,47.58013113408465,-122.19389715462458
39,47.57926126080228,-122.15618212225708
40,47.57668513672657,-122.14014358212692
41,47.57913970760179,-122.15469670965079
42,47.5767281,-122.1694554
43,47.5682997,-122.1689318
44,47.5712267,-122.1583042
45,47.57105459698269,-122.1410795376195
46,47.572529623772766,-122.1246340315646
47,47.5685053,-122.108235
48,47.5677068,-122.0995954
49,47.57633283381015,-122.11203274617952
50,47.58930124081882,-122.11178666502737
51,47.605477532840325,-122.11290793077228
52,47.61834273271606,-122.09849155948964
53,47.6325175,-122.0903914
54,47.6424162,-122.1042637
55,47.6504256,-122.1152851
56,47.65590364624466,-122.12494388665293
57,47.65897899607881,-122.13652550992467
58,47.6678278909628,-122.11041521380184
59,47.6675475327084,-122.10569994137518
